frame,camera,cap_ms,det_ms,total_ms
0,usb1,61,1024,1129
0,usb2,63,862,1129
0,usb3,61,917,1129
1,usb1,56,26,86
1,usb2,51,24,86
1,usb3,52,29,86
2,usb1,54,25,95
2,usb2,64,29,95
2,usb3,52,27,95
3,usb1,56,24,87
3,usb2,43,29,87
3,usb3,56,29,87
4,usb1,49,26,92
4,usb2,44,28,92
4,usb3,62,29,92
5,usb1,57,28,99
5,usb2,53,25,99
5,usb3,69,25,99
6,usb1,51,26,100
6,usb2,46,27,100
6,usb3,70,29,100
7,usb1,53,25,103
7,usb2,52,25,103
7,usb3,69,31,103
8,usb1,49,26,95
8,usb2,44,26,95
8,usb3,65,29,95
9,usb1,53,23,96
9,usb2,53,31,96
9,usb3,64,29,96
10,usb1,50,30,86
10,usb2,43,30,86
10,usb3,53,32,86
11,usb1,55,28,85
11,usb2,45,24,85
11,usb3,53,27,85
12,usb1,52,23,92
12,usb2,53,29,92
12,usb3,61,25,92
13,usb1,50,25,84
13,usb2,44,25,84
13,usb3,53,29,84
14,usb1,60,23,91
14,usb2,44,26,91
14,usb3,58,29,91
15,usb1,51,23,99
15,usb2,46,24,99
15,usb3,67,30,99
16,usb1,50,23,96
16,usb2,47,24,96
16,usb3,66,28,96
17,usb1,56,25,114
17,usb2,54,34,114
17,usb3,78,32,114
18,usb1,59,28,110
18,usb2,66,39,110
18,usb3,66,42,110
19,usb1,58,26,91
19,usb2,58,31,91
19,usb3,57,28,91
20,usb1,58,26,90
20,usb2,48,26,90
20,usb3,59,30,90
21,usb1,49,27,96
21,usb2,47,28,96
21,usb3,65,30,96
22,usb1,48,24,97
22,usb2,44,25,97
22,usb3,68,28,97
23,usb1,48,26,101
23,usb2,44,24,101
23,usb3,70,29,101
24,usb1,48,23,101
24,usb2,44,22,101
24,usb3,69,31,101
25,usb1,47,25,93
25,usb2,43,26,93
25,usb3,64,27,93
26,usb1,50,25,100
26,usb2,44,22,100
26,usb3,70,28,100
27,usb1,51,25,100
27,usb2,45,27,100
27,usb3,70,28,100
28,usb1,50,28,102
28,usb2,46,24,102
28,usb3,70,30,102
29,usb1,48,26,95
29,usb2,44,26,95
29,usb3,67,27,95
30,usb1,51,24,101
30,usb2,50,26,101
30,usb3,72,28,101
31,usb1,51,21,99
31,usb2,50,26,99
31,usb3,69,27,99
32,usb1,50,23,108
32,usb2,47,24,108
32,usb3,75,31,108
33,usb1,49,23,95
33,usb2,46,26,95
33,usb3,60,34,95
34,usb1,53,24,105
34,usb2,54,25,105
34,usb3,74,29,105
35,usb1,52,20,88
35,usb2,52,28,88
35,usb3,58,25,88
36,usb1,55,21,93
36,usb2,58,25,93
36,usb3,59,32,93
37,usb1,52,25,85
37,usb2,46,24,85
37,usb3,54,29,85
38,usb1,49,24,95
38,usb2,46,25,95
38,usb3,62,32,95
39,usb1,50,25,97
39,usb2,47,25,97
39,usb3,67,28,97
40,usb1,50,25,98
40,usb2,46,24,98
40,usb3,69,27,98
41,usb1,49,27,97
41,usb2,44,26,97
41,usb3,68,25,97
42,usb1,49,26,103
42,usb2,48,26,103
42,usb3,72,29,103
43,usb1,53,21,100
43,usb2,50,22,100
43,usb3,70,28,100
44,usb1,49,25,99
44,usb2,45,22,99
44,usb3,69,29,99
45,usb1,49,20,99
45,usb2,45,22,99
45,usb3,69,29,99
46,usb1,49,27,99
46,usb2,45,22,99
46,usb3,69,29,99
47,usb1,50,25,99
47,usb2,46,25,99
47,usb3,69,29,99
48,usb1,48,23,97
48,usb2,44,24,97
48,usb3,68,28,97
49,usb1,49,23,102
49,usb2,44,25,102
49,usb3,70,30,102
50,usb1,48,25,102
50,usb2,44,27,102
50,usb3,72,29,102
51,usb1,49,24,98
51,usb2,44,24,98
51,usb3,70,27,98
52,usb1,49,28,102
52,usb2,45,28,102
52,usb3,70,30,102
53,usb1,52,26,99
53,usb2,56,29,99
53,usb3,69,29,99
54,usb1,55,25,98
54,usb2,53,32,98
54,usb3,64,29,98
55,usb1,64,29,110
55,usb2,57,35,110
55,usb3,73,33,110
56,usb1,50,28,97
56,usb2,44,42,97
56,usb3,53,39,97
